;;;;;;;;
nom_fichier;num_poste;nom_usuel;latitude;longitude;altitude;temperature;;
SH_MTN276217001.csv;76217001;DIEPPE;49.933;1.09;40;2.9;;
SH_MTN276259001.csv;76259001;FECAMP;49.767;0.369;104;3.5;;
SH_MTN176302002.csv;76302002;GODERVILLE;49.642;0.368;118;2.3;;
SH_MTN476552001.csv;76552001;CAP-DE-LA-HEVE;49.509;0.071;100;3.7;;
SH_MTN077211001.csv;77211001;NANGIS;48.595;3.008;128;2.4;;
SH_MTN277306001.csv;77306001;MELUN;48.61;2.68;91;2.5;;
SH_MTN177333003.csv;77333003;NEMOURS;48.27;2.715;73;2.9;;
SH_MTN378621001.csv;78621001;TRAPPES;48.774;2.01;167;2.6;;
SH_MTN378640001.csv;78640001;VILLACOUBLAY;48.773;2.204;174;2.5;;
SH_MTN279176001.csv;79176001;MENIGOUTE_SAPC;46.494;-0.064;138;3.3;;
SH_MTN279191005.csv;79191005;NIORT;46.316;-0.4;57;3.9;;
SH_MTN079220002.csv;79220002;PRIN-DEYRANCON_SAPC;46.231;-0.669;8;3.5;;
SH_MTN079320002.csv;79320002;SURIN_SAPC;46.46;-0.46;100;3.8;;
SH_MTN380001001.csv;80001001;ABBEVILLE;50.136;1.834;69;1.6;;
SH_MTN080182003.csv;80182003;CAYEUX-SUR-MER;50.187;1.521;4;1.9;;
SH_MTN180379002.csv;80379002;AMIENS-GLISY;49.872;2.383;60;1.7;;
SH_MTN180606002.csv;80606002;OISEMONT_SAPC;49.957;1.77;121;1.8;;
SH_MTN080682001.csv;80682001;ROUVROY-EN-SANTERRE;49.765;2.698;95;1.7;;
SH_MTN081081002.csv;81081002;DOURGNE;43.491;2.14;234;4.3;;
SH_MTN181124001.csv;81124001;LACAUNE;43.708;2.704;811;1.2;;
SH_MTN282121002.csv;82121002;MONTAUBAN;44.028;1.377;106;3.6;;
SH_MTN183031001.csv;83031001;LE LUC;43.383;6.386;80;4.9;;
SH_MTN183061001.csv;83061001;FREJUS;43.424;6.738;7;6.9;;
SH_MTN183069001.csv;83069001;HYERES;43.094;6.146;2;7.1;;
SH_MTN183069002.csv;83069002;PORQUEROLLES;43.0;6.227;135;10.2;;
SH_MTN283137001.csv;83137001;TOULON;43.116;5.901;3;7.7;;
SH_MTN083145001.csv;83145001;VARAGES;43.594;5.963;348;3.3;;
SH_MTN184003002.csv;84003002;APT-VITON;43.881;5.414;242;3.1;;
SH_MTN284087001.csv;84087001;ORANGE;44.145;4.861;57;3.8;;
SH_MTN185113001.csv;85113001;L ILE D YEU;46.694;-2.33;32;6;;
SH_MTN185152001.csv;85152001;LA MOTHE ACHARD;46.621;-1.633;58;3.8;;
SH_MTN085163001.csv;85163001;NOIRMOUTIER EN;47.005;-2.257;3;5;;
SH_MTN285216001.csv;85216001;SAINTE GEMME LA PLAINE_SAPC;46.44;-1.121;3;3.4;;
SH_MTN386027001.csv;86027001;POITIERS-BIARD;46.594;0.314;125;3.4;;
SH_MTN186039001.csv;86039001;BRUX_SAPC;46.276;0.19;148;3.7;;
SH_MTN187106001.csv;87106001;NEXON;45.681;1.189;336;2.5;;
SH_MTN187113001.csv;87113001;LE PALAIS SUR VIENNE;45.878;1.343;286;2.9;;
SH_MTN188136001.csv;88136001;EPINAL;48.211;6.452;317;0.9;;
SH_MTN088196009.csv;88196009;GERARDMER;48.072;6.834;669;0.2;;
SH_MTN189295001.csv;89295001;AUXERRE-PERRIGNY;47.825;3.55;152;2.9;;
SH_MTN089333001.csv;89333001;ST ANDRE;47.488;4.059;300;1.9;;
SH_MTN189387002.csv;89387002;SENS;48.168;3.289;70;2.8;;
SH_MTN190035001.csv;90035001;DORANS;47.592;6.837;401;1.1;;
SH_MTN291027002.csv;91027002;ORLY;48.718;2.397;86;3;;
SH_MTN291103001.csv;91103001;BRETIGNY_SAPC;48.601;2.326;78;2.8;;
SH_MTN091184001.csv;91184001;COURDIMANCHE;48.422;2.374;71;2.5;;
SH_MTN394068001.csv;94068001;ST-MAUR;48.809;2.492;48;3.1;;
SH_MTN295078001.csv;95078001;PONTOISE - AERO;49.09;2.029;87;2.2;;
SH_MTN395088001.csv;95088001;LE BOURGET;48.967;2.428;49;2.9;;
